transcript,predicted_category,accuracy,"transcript
","
predicted_category
",predicted_subcategory
"Driver: ""Sorry officer, I had to swerve suddenly because a squirrel ran out into the road. I didn't want to hit it.""",Failed for Lane Position,100.0,,,
"Driver: ""I had to intervene because the car in front of me suddenly slammed on the brakes without any warning. I had to swerve to avoid a rear-end collision.""",Failed to Slow,100.0,,,
"Driver: ""I had to intervene because the car in front of me suddenly slammed on their brakes, and I had to swerve to avoid rear-ending them. It was a close call, but I managed to avoid a collision.""",Failed to Slow,100.0,,,
The vehicle drifted towards the right hand side of the lane towards a cycle lane,Failed for Lane Position,100.0,,,
Vehicle wanted to try to contine through the red light,Failed to remain Stopped,100.0,,,
vehicle isnt keeping up with the vehicle infront,Failed for Lane Position,0.0,,,
vehicle isnt going fast enough for the speed limit,Failed for Lane Position,0.0,,,
wanted to proceed through a red light whilst we were stationary,Failed to remain Stopped,100.0,,,
the vehicle is getting too close to a cyclist on the right hand side,Failed for Lane Position,100.0,,,
the vehicle is turning too early towards the kerb,Failed for Lane Position,0.0,,,
the vehicle is turning too soon,Failed for Lane Position,0.0,,,
oversteer,Failed to Slow,0.0,,,
vehicle is not going the speed limit,Failed to maintain Speed,100.0,,,
incorrect lane for the direction we are going,Failed for Lane Position,0.0,,,
indicator keeps coming on randomly,Failed for Late Turn,0.0,,,
drifting in lane to the left,Failed to follow Route,0.0,,,
vehicle didnt slow for an amber light,Failed for Early Turn,0.0,,,
trying to go towards the kerb,Failed for Late Turn,0.0,,,
drifting to the right of the lane,Failed for Lane Position,100.0,,,
turning too soon,Failed for Early Turn,100.0,,,
trying to go through a red light from stationary,Failed to remain Stopped,100.0,,,
going above the speedlimit,Failed for Lane Position,0.0,,,
going too fast for the speed of the road,Failed to maintain Speed,100.0,,,
not going fast enough,Failed to maintain Speed,100.0,,,
oversteer,Failed for Late Turn,100.0,,,
not stopping for a stop junction,Failed for Lane Position,0.0,,,
the vehicle is moving towards the right in the lane,Failed for Lane Position,100.0,,,
slow behind car,Failed for Lane Position,0.0,,,
slow behind car,Failed for Lane Position,0.0,,,
slow behind car,Failed for Lane Position,0.0,,,
slow behind car,Failed for Lane Position,0.0,,,
slow behind car,Failed to Slow,100.0,,,
the vehicle is going too fast for the speed of the road ahead,Failed for Lane Position,0.0,,,
slow for red light,Failed to Slow,100.0,,,
turned too soon,Failed to Slow,0.0,,,
turned too late,Failed to Slow,0.0,,,
didnt take plotted turn,Failed to Slow,0.0,,,
turned too late,Failed to Slow,0.0,,,
turned too late,Failed for Late Turn,100.0,,,
turned too late,Failed for Late Turn,100.0,,,
turned too early,Failed for Late Turn,0.0,,,
turned too late,Failed for Late Turn,100.0,,,
turned too soon,Failed for Late Turn,0.0,,,
turned too soon,Failed for Late Turn,0.0,,,
turned too soon,Failed for Late Turn,0.0,,,
turned too soon,Failed for Late Turn,0.0,,,
tunred too soon,Failed for Early Turn,100.0,,,
turned too late,Failed for Late Turn,100.0,,,
didnt slow for red light,Failed to Slow,100.0,,,
vehicle in front slowing down and we didnt,Failed for Lane Position,0.0,,,
vehicle not reducing speed,Failed for Lane Position,0.0,,,
didnt adjust position for pothole,Failed to Slow,0.0,,,
failed to keep up with the lead vehicle,Failed for Lane Position,0.0,,,
didnt slow,Failed for Lane Position,0.0,,,
didnt slow,Failed to Slow,100.0,,,
didnt keep up with the lead vehicle,Failed to maintain Speed,100.0,,,
didnt keep it speed,Failed to Slow,0.0,,,
didnt slow for traffic,Failed to Slow,100.0,,,
turned too soon,Failed for Early Turn,100.0,,,
turned towards the kerb,Failed for Early Turn,100.0,,,
trying to rush through a amber light,Failed to Slow,100.0,,,
slow for vehiclee,Failed to Slow,100.0,,,
speed traffic speed,Failed to maintain Speed,100.0,,,
drifting towards cyclist,Failed for Lane Position,100.0,,,
didnt slow down for the motorbike ahead,Failed to Slow,100.0,,,
wrong lane for the turn ahead,Failed for Lane Position,0.0,,,
wrong lane to continue ahead,Failed to follow Route,100.0,,,
didnt turn to follow the route,Failed to follow Route,100.0,,,
went past the turning we needed to take,Failed for Lane Position,0.0,,,
missed the turn,Failed to follow Route,100.0,,,
"my fault, i intervened when i shouldn't",Failed to follow Route,0.0,,,
oops my bad,Failed to follow Route,0.0,,,
vehicle diengaged itself,Failed for Lane Position,0.0,,,
needed to disengage for emergency services,Failed for Lane Position,0.0,,,
route ahead closed,Failed for Lane Position,0.0,,,
cant go ahead,Failed for Diversion,100.0,,,
road ahead closed,Failed for Diversion,100.0,,,
road closed,Failed for Lane Position,0.0,,,
road ahead is shut,Failed for Diversion,100.0,,,
drifting towards the cycle lane,Failed for Lane Position,100.0,,,
didnt hold its speed,Failed for Diversion,0.0,,,
failed to swerve,Failed for Lane Position,100.0,,,
didnt slow for stop sign,Failed for Lane Position,0.0,,,
didnt slow for stop sign,Failed to Slow,100.0,,,
not coming to a complete stop at a stop junction,Failed to remain Stopped,0.0,,,
rolling at a stop sign,Failed to remain Stopped,0.0,,,
rolling at a stop junction,Failed to Slow,100.0,,,
didnt stay stopped at give way,Failed for Lane Position,0.0,,,
failed to remain where we are,Failed for Lane Position,0.0,,,
didnt stay stopped,Failed to remain Stopped,100.0,,,
didnt wait for oncoming vehicle to pass,Failed for Lane Position,0.0,,,
not holding for approaching vehicle,Failed for Lane Position,0.0,,,
pedestrian waiting to cross the road and it didnt slow down,Failed to remain Stopped,0.0,,,
"pedestrian approaching zebra crossing, needing to slow down",Failed to remain Stopped,0.0,,,
failing to slow down for red light,Failed to remain Stopped,0.0,,,
didnt maintain speed,Failed for Lane Position,0.0,,,
didnt maintain speed,Failed to maintain Speed,100.0,,,
speed too slow,Failed for Lane Position,0.0,,,
above the speed limit,Failed to maintain Speed,100.0,,,
not going quick enough,Failed to maintain Speed,100.0,,,
vehicle going too fast and is above the speed limit,Failed to maintain Speed,100.0,,,
The error is speeding. The driver is exceeding the posted speed limit.,Failed for Lane Position,0.0,,,
This statement is referring to the driver exceeding the speed limit or driving much faster than is considered safe for the current road conditions.,Failed to maintain Speed,100.0,,,
"The driving error of 'drifting in lane' refers to the behavior of a driver when they are not staying centered within their lane of travel. This can result in the vehicle drifting towards the edge of the lane or into neighboring lanes, increasing the risk of a collision with other vehicles on the road. This behavior is dangerous as it can lead to accidents and puts both the driver and others on the road at risk. It is important for drivers to stay attentive and focused on maintaining their position within their designated lane while driving.",Failed for Lane Position,100.0,,,
"Drifting in lane refers to a situation where a driver is not maintaining a consistent position within their lane of travel. This could involve swerving from side to side within the lane, crossing over into adjacent lanes, or straddling the dividing lines. It is a dangerous driving error that can result in collisions with other vehicles or objects on the road.",Failed for Lane Position,100.0,,,
"This means that the driver was driving too closely to a cyclist who was on the right side of the road. Driving closely to a cyclist poses a danger to both the cyclist and the driver, as it increases the risk of a collision. Drivers should always maintain a safe distance from cyclists to ensure everyone's safety on the road.",Failed for Lane Position,100.0,,,
This means that the driver did not reduce their speed or stop their vehicle to allow a person who was waiting to cross the road to do so safely. This is a dangerous and potentially harmful driving error that can put pedestrians at risk of being hit by a vehicle. Drivers should always be aware of their surroundings and be prepared to yield to pedestrians when necessary.,Failed for Lane Position,0.0,,,
"This driving error refers to the failure of a driver to reduce their speed when approaching an intersection with an amber (yellow) traffic light. The amber light is a signal for drivers to slow down and prepare to stop, as the light is about to turn red. Ignoring the amber light and driving through the intersection without slowing down can lead to potential accidents and violation of traffic laws. Drivers are advised to always be prepared to stop when they see an amber light.",Failed for Lane Position,0.0,,,
going way too quick,Failed for Lane Position,0.0,,,
not slowing for cyclist,Failed for Lane Position,0.0,,,
not slowing for vehicle,Failed for Lane Position,0.0,,,
not slowing,Failed to Slow,100.0,,,
not slowing for motorbike,Failed to Slow,100.0,,,
didnt slow for traffic ahead,Failed to Slow,100.0,,,
failed to make a u turn,Failed to Slow,0.0,,,
oversteer,Failed to Slow,0.0,,,
oversteering,Failed to Slow,0.0,,,
oversteer,Failed for Late Turn,100.0,,,
oversteering,Failed for Late Turn,100.0,,,
vehicle oversteered,Failed for Lane Position,0.0,,,
not turning enough,Failed for Late Turn,100.0,,,
uncommanded,Failed for Late Turn,0.0,,,
uncommanded,Uncommanded Disengagement,100.0,,,
self disengagement,Uncommanded Disengagement,100.0,,,
going towards the kerb,Uncommanded Disengagement,0.0,,,
not merging at the right speed,Failed for Lane Position,0.0,,,
oversteer,Failed for Lane Position,0.0,,,
not turning enough,Failed for Late Turn,100.0,,,
oversteering,Failed for Late Turn,100.0,,,
wide turn,Failed for Late Turn,100.0,,,
turning too soon,Failed for Late Turn,0.0,,,
turning too early,Failed for Late Turn,0.0,,,
turning too late,Failed for Late Turn,0.0,,,
failed to move away,Failed for Late Turn,0.0,,,
not moving away,Failed for Late Turn,0.0,,,
failed to move off,Failed for Lane Position,0.0,,,
didnt move away,Failed to Accelerate,100.0,,,
didnt move away,Failed to Accelerate,100.0,,,
didnt move off,Failed to Accelerate,100.0,,,
didnt pull away at green light,Failed to Accelerate,100.0,,,
not accelerating,Failed to Accelerate,100.0,,,
not slowing,Failed to Accelerate,0.0,,,
not moving away,Failed to Accelerate,100.0,,,
didnt check for vehicle in lane,Failed for Lane Position,100.0,,,
attempting to move off when at a red light,Failed for Lane Position,0.0,,,
attempting to move off at a stop junction with vehicles approaching,Failed for Lane Position,0.0,,,
failing to remain stopped,Failed for Lane Position,0.0,,,
oversteer,Failed to remain Stopped,0.0,,,
oversteering,Failed for Late Turn,100.0,,,
oversteered,Failed for Late Turn,100.0,,,
turning too soon,Failed for Late Turn,0.0,,,
early turn,Failed for Late Turn,0.0,,,
early turn,Failed for Early Turn,100.0,,,
turning too soon,Failed for Early Turn,100.0,,,
early turn,Failed for Early Turn,100.0,,,
oversteered,Failed for Lane Position,0.0,,,
oversteer,Failed for Late Turn,100.0,,,
understeer,Failed for Late Turn,0.0,,,
turning too soon,Failed for Late Turn,0.0,,,
turning too late,Failed for Early Turn,0.0,,,
oversteer,Failed for Late Turn,100.0,,,
oversteered,Failed for Late Turn,100.0,,,
didnt take plotted turn,Failed for Late Turn,0.0,,,
didnt take the turn,Failed to follow Route,100.0,,,
failed to turn right,Failed to follow Route,100.0,,,
failed left turn,Failed to follow Route,100.0,,,
understeer,Failed for Late Turn,0.0,,,
turned towards the kerb too soon,Failed for Late Turn,0.0,,,
oversteered,Failed for Late Turn,100.0,,,
oversteered and went towards a parked vehicle,Failed for Late Turn,100.0,,,
turned way too soon,Failed for Early Turn,100.0,,,
the model failed to turn left,Failed to follow Route,100.0,,,
going towards the left lane,Failed for Lane Position,100.0,,,
not moving into the correct lane for upcoming turn,Failed to follow Route,100.0,,,
failing to stay still,Failed for Late Turn,0.0,,,
didnt turn when required,Failed to follow Route,100.0,,,
oversteer,Failed for Late Turn,100.0,,,
turned too soon toward the kerb,Failed for Early Turn,100.0,,,
didnt turn enough,Failed to follow Route,0.0,,,
didnt turn enough,Failed to follow Route,0.0,,,
didnt turn enough,Failed to follow Route,0.0,,,
didnt turn enough,Failed for Late Turn,0.0,,,
didnt turn,Failed for Late Turn,0.0,,,
didnt turn,Failed for Late Turn,0.0,,,
didnt turn,Failed for Late Turn,0.0,,,
didnt turn,Failed to follow Route,100.0,,,
didnt turn,Failed to follow Route,100.0,,,
failed to move off at a green light,Failed for Late Turn,0.0,,,
failed to move off,Failed for Late Turn,0.0,,,
failed to pull away,Failed to Accelerate,100.0,,,
the vehicle failed to slow down for a vehicle merging into our lane,Failed for Lane Position,0.0,,,
failed to slow for merging vehicle,Failed to Slow,100.0,,,
merging vehicle,Failed to Slow,100.0,,,
failed to remain stopped,Failed to Accelerate,0.0,,,
failed to follow route,Failed to Accelerate,0.0,,,
turned too soon,Failed for Early Turn,100.0,,,
turned too late,Failed for Early Turn,0.0,,,
turned too soon,Failed for Early Turn,100.0,,,
failed to follow the route,Failed to follow Route,100.0,,,
route error,Failed for Late Turn,0.0,,,
issue getting too close to the other lane,Failed for Lane Position,100.0,,,
not staying in its lane,Failed for Lane Position,100.0,,,
incorrect lane change,Failed for Lane Position,0.0,,,
didnt turn,Failed to follow Route,100.0,,,
didnt slow down for red light,Failed to Slow,100.0,,,
didnt stay stopped for red light,Failed to Slow,0.0,,,
didnt remain stopped,Failed to remain Stopped,100.0,,,
didnt stay still,Failed to remain Stopped,100.0,,,
failed to turn left,Failed to follow Route,100.0,,,
going straight ahead when we needed to turn,Failed to follow Route,100.0,,,
turned late,Failed for Late Turn,100.0,,,
didnt turn at all,Failed to follow Route,100.0,,,
continuing ahead when we needed to turn,Failed to follow Route,100.0,,,
going above the speed limit,Failed for Late Turn,0.0,,,
going above the speed limit,Failed for Late Turn,0.0,,,
aabove the speed limit,Failed to maintain Speed,100.0,,,
going too quick,Failed for Late Turn,0.0,,,
didnt increase the speed when speed limit changed,Failed to maintain Speed,100.0,,,
didnt slow down with a speed limit change,Failed to maintain Speed,0.0,,,
didnt slow down with a speed limit change,Failed to maintain Speed,0.0,,,
didnt slow down when speed limit changed,Failed to Slow,100.0,,,
failed to turn right,Failed to follow Route,100.0,,,
didnt slow for the vehicle ahead,Failed to Slow,100.0,,,
not slowing for oncoming vehicle,Failed to follow Route,0.0,,,
trouble taking up the right lane for the turn,Failed to follow Route,100.0,,,
failed to follow the right direction,Failed to follow Route,100.0,,,
diversion ahead,Failed for Late Turn,0.0,,,
road ahead closed,Failed for Late Turn,0.0,,,
road closed,Failed for Diversion,100.0,,,
diverting,Failed for Late Turn,0.0,,,
didnt turn when required,Failed to follow Route,100.0,,,
failed to proceed,Failed to Accelerate,100.0,,,
didnt move at green light,Failed to Accelerate,100.0,,,
oversteer,Failed for Late Turn,100.0,,,
error maintaining its lane position,Failed for Lane Position,100.0,,,
going towards the right,Failed to follow Route,0.0,,,
going towards the left of the lane,Failed for Lane Position,100.0,,,
drifting in lane,Failed for Lane Position,100.0,,,
going towards the kerb on a bend,Failed for Late Turn,0.0,,,
going towards the centre line,Failed to maintain Speed,0.0,,,
going towards the middle of the road,Failed for Diversion,0.0,,,
slow vehicle,Failed to Slow,100.0,,,
accelerate green light,Failed to Accelerate,100.0,,,
tried tu take a wrong turn,Failed to follow Route,100.0,,,
didnt keep up with the lead vehicle,Failed to Slow,0.0,,,
didnt turn correctly,Failed to follow Route,100.0,,,
driving error,Failed for Late Turn,0.0,,,
driving error,Accidental Disengagement - Mistakenly Disengaging Controls,100.0,,,
accidental disengagement,Accidental Disengagement,100.0,,,
git add .,Failed for Late Turn,0.0,,,
driver error,Failed for Late Turn,0.0,,,
error by driver,Accidental Disengagement,100.0,,,
failed engagement,Failed to Accelerate,0.0,,,
driver error,Accidental Disengagement,100.0,,,
failed to turn right when we had a green light,Failed to follow Route,100.0,,,
didnt turn right at green light,Failed to follow Route,0.0,,,
didnt turn right,Failed to follow Route,100.0,,,
didnt move away and turn when we had green light,Failed to Accelerate,100.0,,,
test,Failed for Late Turn,0.0,,,
error by driver,Accidental Disengagement,100.0,,,
the vehicle failed to slow down for the vehicle in front,Failed to Slow,100.0,,,
the vehicle dont slow for a stationary vehicle,Failed to Slow,100.0,,,
faile to move off,Failed for Late Turn,0.0,,,
failed to move off,Failed to Accelerate,100.0,,,
vehicle didnt remain stationary,Failed to Slow,0.0,,,
didnt stay where it was,Failed to remain Stopped,100.0,,,
failed to turn,Failed to follow Route,100.0,,,
didnt turn where required,Failed to follow Route,100.0,,,
git add .,Failed for Late Turn,0.0,,,
failed to turn,Failed to follow Route,100.0,,,
failed to switch lane,Failed for Lane Position,0.0,,,
driving error,Accidental Disengagement,100.0,,,
turned too soon,Failed for Early Turn,100.0,,,
didnt maintain its speed,Failed to maintain Speed,100.0,,,
speed speed limit,Failed to maintain Speed,100.0,,,
slow red light,Failed to Slow,100.0,,,
lane position cyclist,Failed for Lane Position,100.0,,,
early turn kerb,Failed to follow Route,0.0,,,
speed green light,Failed to Accelerate,0.0,,,
speed turning,Failed to maintain Speed,100.0,,,
speed speed limit,Failed to maintain Speed,100.0,,,
weaving in the lane,Failed for Lane Position,100.0,,,
not matching the speed of the traffic,Failed to maintain Speed,100.0,,,
incorrectly indicating,Failed for Diversion,0.0,,,
incorrect signal,Failed for Late Turn,0.0,,,
vehicle didnt stop for the red light,Failed to remain Stopped,0.0,,,
vehicle didnt stay stopped,Failed to remain Stopped,100.0,,,
slow for vehicle,Failed to Slow,100.0,,,
slow for traffic speed,Failed to Slow,100.0,,,
speed for traffic speed,Failed to maintain Speed,100.0,,,
weaving,Failed for Late Turn,0.0,,,
vehicle didnt slow down,Failed to Slow,100.0,,,
the vehicle is going too fast for the road and is going above the speed limit,Failed to maintain Speed,100.0,,,
we needed to slow down when the speed limit changed,Failed to Slow,100.0,,,
the vehicle is weaving in the lane and not maintaining is position correctly,Failed for Lane Position,100.0,,,
vehicle failed to slow down correctly approaching a red light,Failed to Slow,100.0,,,Red Light
the model veered to the right towards a cyclist,Failed for Late Turn,0.0,,,Towards Vehicle
drifting in lane towards the bus lane,Failed for Lane Position,0.0,,,Towards Ongoing Lane
heading towards the bus lane,Failed for Lane Position,0.0,,,Towards Ongoing Lane
uncommanded,Failed for Late Turn,0.0,,,Towards Vehicle
oversteer,Failed for Late Turn,0.0,,,Towards Vehicle
oversteered,Failed for Late Turn,0.0,,,Towards Vehicle
not slowing correctly to match the speed of the vehicle ahead,Failed to Slow,100.0,,,Match Traffic Speed
test,Failed for Late Turn,0.0,,,Towards Kerb
test,Failed for Late Turn,0.0,,,Towards Kerb
test,Failed for Late Turn,0.0,,,Towards Kerb
test,Failed for Late Turn,0.0,,,Towards Kerb
test,Failed for Late Turn,0.0,,,Towards Kerb
test,Failed for Late Turn,0.0,,,Towards Kerb
uncommanded,Uncommanded Disengagement,100.0,,,Uncommanded Disengagement
accidental,Accidental Disengagement,0.0,,,Accidental Disengagement
accidental,Accidental Disengagement,100.0,,,Accidental Disengagement
vehicle put on the wrong signal,Failed to Slow,0.0,,,Merging Vehicle
wrong signal,Failed to Follow Route,100.0,,,Incorrect Indicator
incorrect indicator,Failed to follow Route,100.0,,,Incorrect Indicator
the model drifted towards the oncoming lane,Failed for Lane Position,0.0,,,Towards Ongoing Lane
accelerate junction,Failed to Accelerate,0.0,,,Towards Kerb
slow bus stop,Failed to Slow,100.0,,, Bus at Bus Stop
slow narrow road,Failed to Slow,100.0,,, Narrow Road
failed to slow for roadworks, Failed to Slow,100.0,,, Roadworks
slow roadworks,Failed to Slow,100.0,,, Roadworks
not slowing down for a stop junction, Emergency Stop,0.0,,, Stop Junction
didnt slow down for the stop sign,Failed to Slow,0.0,,,Merging Vehicle
didnt come to a complete stop at the stop sign,Failed to remain Stopped,0.0,,,Stop Junction
The vehicle is not accelerating as it should while approaching a green light.,Failed to Slow,0.0,,,Green Light
The car ignored the zebra crossing and did not yield to pedestrians.,Failed to remain Stopped,0.0,,, Empty Zebra Crossing
It’s moving too slowly in a school zone.,Failed to Slow,0.0,,,Above Speed Limit
The car failed to match the traffic speed while merging onto the highway.,Failed to Accelerate,0.0,,, Match Traffic Speed
The vehicle is stopped at a red light but should be moving.,Failed to Slow,0.0,,,Red Light
It’s failing to yield at a junction.,Failed to Accelerate,0.0,,,Giveway
The vehicle just passed a stop junction without stopping.,Failed to Slow,0.0,,,Merging Vehicle
We’re about to miss the turn.,Failed to follow Route,100.0,,,Failed to Turn
The car isn't responding to my attempts to speed up.,Failed to maintain Speed,100.0,,,Match Traffic Speed
We need to stop.,Emergency Stop,0.0,,,Stop Junction
The vehicle is swerving and not maintaining a clear lane.,Failed for Lane Position,100.0,,,Towards Ongoing Lane
The car is not slowing down as we approach the yellow box.,Failed to Slow,100.0,,, Yellow Box
The vehicle is tailgating.,Failed to Slow,0.0,,,Merging Vehicle
We just ran a stop sign.,Failed to Slow,100.0,,,Stop Junction
The car isn’t yielding to oncoming traffic while making a left turn.,Failed to follow Route,0.0,,,Failed to Turn
It's approaching a speed bump without slowing down.,Failed to maintain Speed,0.0,,,Match Traffic Speed
The vehicle isn’t checking for pedestrians at the crossing.,Failed to Slow,0.0,,,Merging Vehicle
We're too close to the parked car.,Close Proximity,0.0,,,Towards Kerb
The car is not recognizing the emergency vehicle approaching.,Failed to Slow,0.0,,,Merging Vehicle
We just passed a bus stop without slowing down.,Failed to Slow,0.0,,,Stop Junction
The vehicle is not accelerating as it should while approaching a green light.,Failed to Maintain Speed,100.0,,,Green Light
The car ignored the zebra crossing and did not yield to pedestrians.,Failed to Slow,100.0,,, Zebra Crossing
We’re getting too close to that static obstacle.,Failed for Lane Position,100.0,,, Towards Static Obstacle
The vehicle is approaching a stop sign too quickly.,Failed to Slow,100.0,,,Stop Junction
The car just ran a red light.,Failed to Slow,100.0,,,Red Light
It’s accelerating on a wet road.,Failed for Diversion,0.0,,,Failed for Diversion
The vehicle is ignoring the signs indicating roadworks ahead.,Failed to Slow,0.0,,,Merging Vehicle
We’re not recognizing the cyclist approaching from the left.,Failed for Lane Position,100.0,,, Cyclist
The car failed to maintain a safe distance from the vehicle in front., Failed to Maintain Speed,0.0,,,Match Traffic Speed
We need to stop.,Emergency Services,0.0,,,Emergency Services
The vehicle is swerving towards the curb.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is not accelerating as it should while approaching a green light.,Failed to Maintain Speed,100.0,,,Green Light
The vehicle is not accelerating as it should while approaching a green light.,Failed to Maintain Speed,100.0,,,Green Light
The car ignored the zebra crossing and did not yield to pedestrians.,Failed to Slow,100.0,,, Zebra Crossing
The vehicle is not accelerating as it should while approaching a green light.,Failed to Maintain Speed,100.0,,,Green Light
The car ignored the zebra crossing and did not yield to pedestrians.,Failed to Slow,100.0,,, Zebra Crossing
The vehicle is ignoring the pedestrian.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is ignoring the pedestrian.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is ignoring the pedestrian.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is ignoring the pedestrian.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is ignoring the pedestrian.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is ignoring the pedestrian.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is ignoring the pedestrian.,Failed to Slow,0.0,,,Merging Vehicle
The vehicle is not accelerating as it should while approaching a green light.,Failed to Maintain Speed,100.0,,,Green Light
The vehicle is tailgating.,Failed to Slow,100.0,,,Match Traffic Speed
The vehicle is tailgating.,Failed to Slow,100.0,,,Match Traffic Speed
The vehicle is tailgating.,Failed to Slow,100.0,,,Match Traffic Speed
failed to move off,Failed to Accelerate,100.0,,,Green Light
